date,open,high,low,close,volume
2016-11-23,27.84,27.8775,27.5825,27.8075,109705576.0
2016-11-25,27.7825,27.9675,27.7375,27.9475,45903688.0
2016-11-28,27.8575,28.1163,27.8475,27.8925,108775932.0
2016-11-29,27.695,28.0075,27.5175,27.865,114115000.0
2016-11-30,27.9,28.05,27.5675,27.63,144649032.0
2016-12-01,27.5913,27.735,27.2575,27.3725,148347448.0
2016-12-02,27.2925,27.5225,27.2125,27.475,106111988.0
2016-12-05,27.5,27.5075,27.0625,27.2775,137298160.0
2016-12-06,27.375,27.59,27.2975,27.4875,104781848.0
2016-12-07,27.315,27.7975,27.29,27.7575,119994876.0
2016-12-08,27.715,28.1075,27.65,28.03,108273264.0
2016-12-09,28.0775,28.675,28.0775,28.4875,137610508.0
2016-12-12,28.3225,28.75,28.1225,28.325,105497508.0
2016-12-13,28.46,28.98,28.4375,28.7975,174935244.0
2016-12-14,28.76,29.05,28.745,28.7975,136127336.0
2016-12-15,28.845,29.1825,28.8075,28.955,186098176.0
2016-12-16,29.1175,29.125,28.9113,28.9925,177404536.0
2016-12-19,28.95,29.345,28.9375,29.16,111117692.0
2016-12-20,29.185,29.375,29.17,29.2375,85699860.0
2016-12-21,29.2,29.35,29.195,29.265,95132660.0
2016-12-22,29.0875,29.1275,28.91,29.0725,104343416.0
2016-12-23,28.8975,29.13,28.8975,29.13,56997936.0
2016-12-27,29.13,29.45,29.1225,29.315,73187420.0
2016-12-28,29.38,29.5042,29.05,29.19,83623568.0
2016-12-29,29.1125,29.2774,29.1,29.1825,60158076.0
2016-12-30,29.1625,29.3,28.8575,28.955,122345060.0
